autor_id,ime,prezime,godina_rodjenja,drzava
54,Jurij,Ivanovič,1958,Španija
55,Lili-Džon,Ueller,1966,Nemačka
56,Kajri,Stoun,1968,Italija
57,Galina,Romanova,1963,Sjedinjene Američke Države
58,Džejn,Dou,1966,Francuska
59,Roza,Sergazieva,1974,Rusija
60,Andrej,Prosin,1975,Ujedinjeno Kraljevstvo
61,Nikolaj,Romanov,1967,Rusija
62,Sergej,Kuznecov,1956,Japan
63,Pelageja,Aleksandrova-Ignateva,1958,Rusija
64,Mihail,Ignatev,1985,Rusija
65,Ljudmila,Dunaeva,1971,Francuska
66,Stanislav,Sergeev,1955,Rusija
67,Arkadij,Averčenko,1880,Ruska Imperija
68,Jaroslav,Čirkov,1930,Rusija
69,Aleksej,Mičman,1984,Ujedinjeno Kraljevstvo
70,Ekaterina,Poljakova,1987,Rusija
71,Viktorija,Vizorina,1970,Rusija
72,Liza,Oldoak,1968,Sjedinjene Američke Države
73,Elena,Malinovskaja,1968,Belorusija
74,Vasilij,Aksenov,1914,Ujedinjeno Kraljevstvo
75,Blejk,Pirs,1968,Ujedinjeno Kraljevstvo
76,Sintija,Vejder,1963,Rusija
77,Marina,Suldina,1990,Italija
78,Tatjana,Luganceva,1956,Rusija
79,Aleksej,Kulakov,1923,Nemačka
80,Aleksej,Čeljapin,1978,Sjedinjene Američke Države
81,Brenda,Džojs,1954,Sjedinjene Američke Države
82,Ifa,Ebbi,1977,Rusija
83,Svetlana,Fetisova,1967,Ujedinjeno Kraljevstvo
84,Anna,Babjaškina,1979,Francuska
85,Gaj,Orlovskij,1977,Francuska
86,Jurij,Molčan,1992,Francuska
87,Ti,Kinsi,1978,Poljska
88,Nikolaj,Poberežnik,1963,Rusija
89,Aleksandr,Gulevič,1981,Ujedinjeno Kraljevstvo
90,Katja,Neva,1975,Ujedinjeno Kraljevstvo
91,Vladimir,Količev,1963,Rusija
92,Kombat,Najtov,1964,Srbija
93,Čarlz,Elms,1987,Rusija
94,Tatjana,Andrianova,1960,Savez Sovjetskih Socijalističkih Republika
95,Marija,Voronova,1975,Sjedinjene Američke Države
96,Andrej,Korolev,1962,Francuska
97,Aleksandr,Voronin,1957,Rusija
98,Anna,Berseneva,1963,Rusija
99,Ilja,Melnikov,1986,Rusija
100,Irvin,Šou,1913,Sjedinjene Američke Države
101,Irina,Breht,1963,Francuska
102,Natalja,Žilcova,1980,Rusija
103,Evgenij,Moroz,1950,Sjedinjene Američke Države
104,Čezare,Lombrozo,1835,Kraljevina Italija
105,Oleg,Divov,1968,Rusija
106,Nadežda,Teffi,1919,Italija
107,Darja,Kova,1969,Rusija
108,Natalija,Koršunova,1944,Sjedinjene Američke Države
109,Šennon,Messendžer,1986,Nemačka
110,Marina,Eldenbert,1974,Sjedinjene Američke Države
111,Aleksej,Kalugin,1970,Srbija
112,Anja,Amasova,1971,Rusija
113,Albina,Gaponenko,1962,Francuska
114,Vera,Reuckaja,1960,Rusija
115,Igor,Šram,1951,Nemačka
116,Nikolaj,Leskov,1831,Ruska Imperija
117,Aleksandr,Kuprin,1842,Rusija
118,Irvin,Jalom,1931,Sjedinjene Američke Države
119,Šarl,Perro,1628,Kraljevstvo Francuska
120,Vilgelm,Gauf,1802,Sjedinjene Američke Države
121,Jakob i Vilgelm,Grimm,1785,Kraljevina Pruska
122,Dmitrij,Makunin,1978,Rusija
123,Gilbert Kit,Česterton,1874,Ujedinjeno Kraljevstvo
124,Anastasija,Rogova,1985,Kanada
125,Lidija,Čarskaja,1875,Savez Sovjetskih Socijalističkih Republika
126,Alina,Znamenskaja,1949,Sjedinjene Američke Države
127,Aleksandr,Grin,1880,Savez Sovjetskih Socijalističkih Republika
128,Eduard,Katlas,1959,Francuska
129,Svjatitel Luka Krimskij,(Vojno-Jaseneckij),1970,Srbija
130,Konstantin,Simonov,1915,Savez Sovjetskih Socijalističkih Republika
131,Olga,Pokrovskaja,1970,Sjedinjene Američke Države
132,Irina,Melnikova,1950,Savez Sovjetskih Socijalističkih Republika
133,Darja,Snežnaja,1985,Nemačka
134,Viktorija,Isaeva,1999,Rusija
135,Dina,Rubina,1953,Izrael
136,Aleksej,Nomejn,1940,Ujedinjeno Kraljevstvo
137,Enn,Kuin,1936,Ujedinjeno Kraljevstvo
138,Dana,Erik,1966,Ujedinjeno Kraljevstvo
139,Agafja,Zvonareva,1974,Ujedinjeno Kraljevstvo
140,Vera,Koločkova,1960,Sjedinjene Američke Države
141,Valerij,Kiseljov,1970,Sjedinjene Američke Države
142,Marija,Žukova,1979,Belorusija
143,Vitalij,Muškin,1956,Rusija
144,Aleksandra,Lisina,1968,Italija
145,Varlam,Šalamov,1907,Savez Sovjetskih Socijalističkih Republika
146,Elizaveta,Danilova,1996,Rusija
147,Viktorija,Platova,1954,Sjedinjene Američke Države
148,Vadim,Panov,1972,Rusija
149,Aleksej,Lavrov,1825,Ruska Imperija
150,Kir,Buličev,1918,Rusija
151,Anna,Kornienko,1969,Rusija
152,Vladimir,Sorokin,1955,Rusija
153,Olga,Korotaeva,1962,Rusija
154,Anna,Oduvalova,1977,Sjedinjene Američke Države
155,Marija,Spasskaja,1963,Sjedinjene Američke Države
156,Ljudmila,Zgonnik,1976,Francuska
157,Marina,Serova,1966,Savez Sovjetskih Socijalističkih Republika
158,Natalja,Solnceva,1969,Rusija
159,Ekaterina,Lesina,1964,Sjedinjene Američke Države
160,Anna i Sergej,Litvinovi,1950,Sjedinjene Američke Države
161,Julija,Šilova,1969,Rusija
162,Dmitrij,Emec,1940,Rusija
163,Sergej,Zinin,1959,Nemačka
164,Andrej,Usačev,1956,Poljska
165,Ekaterina,Azarova,1927,Sjedinjene Američke Države
166,Natalja,Cvetkova,1922,Rusija
167,Leonid,Mečemir,1988,Ujedinjeno Kraljevstvo
168,Anri,Perrjušo,1917,Francuska
169,Evgenij,Griškovec,1967,Rusija
170,Anna,Matison,1983,Rusija
171,Alla,Poljanskaja,1961,Francuska
172,Ženja,Roč,1975,Nemačka
173,Eži,Dovnar,1977,Rusija
174,Uiljam Uilki,Kollinz,1721,Kraljevstvo Velika Britanija
175,Andrej,Ulanov,1960,Rusija
176,Dmitrij,Šein,1955,Rusko carstvo
177,Iosif,Linder,1960,Nemačka
178,Julija,Ostapenko,1980,Italija
179,Roman,Zlotnikov,1963,Rusija
180,Deniel,Braun,1975,Rusija
181,Džeremi,Fišer,1991,Ujedinjeno Kraljevstvo
182,Gillian,Kejs,1983,Sjedinjene Američke Države
183,Valerij,Kvilorija,1979,Rusija
184,Tuve,Jansson,1914,Finska
185,Darja,Doncova,1952,Rusija
186,Elena,Čub,1982,Nemačka
187,Aleksandr,Amfiteatrov,1862,Ruska Imperija
188,Larisa,Gurova,1931,Rusija
189,Arkadij i Boris,Strugackie,1921,Rusija
190,Jurij,Klimonov,1970,Sjedinjene Američke Države
191,Maksim,Gorkij,1868,Savez Sovjetskih Socijalističkih Republika
192,Marina,Komarova,1983,Rusija
193,Olga,Sivek,1991,Sjedinjene Američke Države
194,Aleks,Orlov,1964,Rusija
195,Stefanija,Lukas,1944,Francuska
196,Saule,Kadirova,1987,Sjedinjene Američke Države
197,Andrej,Martjanov,1942,Sjedinjene Američke Države
198,Julija,Kuznecova,1962,Rusija
199,Franciska,Vudvort,1984,Rusija
200,Darja,Kalinina,1968,Rusija
201,Andrej,Muravev,1957,Rusija
202,Anatolij,Drozdov,1950,Rusija
203,Aleksandr,Prozorov,1889,Savez Sovjetskih Socijalističkih Republika
204,Anja,Sokol,1991,Sjedinjene Američke Države
205,Natalja,Kosuhina,1971,Rusija
206,Irina,Suzdaleva,1995,Sjedinjene Američke Države
207,Elena,Rerih,1879,Ruska Imperija
208,Anastasija,Valeeva,1994,Rusija
209,Kristian,Bernar,1964,Rusija
210,Kerol,Mortimer,1960,Ujedinjeno Kraljevstvo
211,Napoleon,Hill,1883,Sjedinjene Američke Države
212,Svetlana,Raščupkina,1970,Rusija
213,Aleksandr,Kontorovič,1987,Italija
214,Tahira,Mafi,1988,Sjedinjene Američke Države
215,Alina,Kuskova,1964,Sjedinjene Američke Države
216,Dejv,Grej,1981,Rusija
217,Golib,Saidov,1981,Rusija
218,Džessi,Endrjus,1982,Sjedinjene Američke Države
219,Džulian,Barns,1946,Ujedinjeno Kraljevstvo
220,Pol,Sallivan,1984,Rusija
221,Tanja,Kadzi,1960,Rusija
222,Džek,London,1876,Sjedinjene Američke Države
223,N.,Manešina,1971,Ujedinjeno Kraljevstvo
224,Meredit,Mitčel,1989,Sjedinjene Američke Države
225,Eduard,Parker,1973,Poljska
226,Li,Kokerell,1978,Rusija
227,Andrej,Levickij,2002,Rusija
228,Svetlana,Kott,1986,Francuska
229,Edgar,Saltus,1966,Sjedinjene Američke Države
230,Olga,Romanovskaja,1986,Ukrajina
231,Dmitrij,Merežkovskij,1865,Ruska Imperija
232,Viktor,Matinov,1949,Kanada
233,Sergej,Aksu,1964,Rusija
234,Anastasija,Vihareva,1981,Rusija
235,Tatjana,Tronina,1972,Italija
236,Kent,Kil,1969,Ujedinjeno Kraljevstvo
237,Džudit,Ajvori,1958,Francuska
238,Vladimir,Sosnovskij,1940,Rusija
239,Aleksej,Ratušnij,1942,Sjedinjene Američke Države
240,Taisija,Kolt,1984,Sjedinjene Američke Države
241,Sergej,Černišev,1955,Rusija
242,Mihail,Veller,1941,Sjedinjene Američke Države
243,Bill,Džejms,1929,Ujedinjeno Kraljevstvo
244,Rejčel Makkarti,Džejms,1981,Rusija
245,Valerija,Verbinina,1956,Ujedinjeno Kraljevstvo
246,Konstantin,Šeremetev,1985,Sjedinjene Američke Države
247,Anna,Džejn,1988,Rusija
248,Viktor,Mišin,1970,Ujedinjeno Kraljevstvo
249,Džoss,Vud,1959,Rusija
250,Ekaterina,Vilmont,1946,Rusija
251,Mihail,Tirin,1975,Ujedinjeno Kraljevstvo
252,Irina,Veremej,1984,Sjedinjene Američke Države
253,Igor,Osipov,1967,Rusija
254,Rej,Bredberi,1920,Sjedinjene Američke Države
255,Benedikt,Spinoza,1632,Nizozemska republika
256,Pavel,Solovev,1843,Rusija
257,E.,Imaševa,1985,Ujedinjeno Kraljevstvo
258,Aleksandr,Borisov,1961,Italija
259,Andrej,Šapenko,1975,Sjedinjene Američke Države
260,Marina,Stepnova,1971,Rusija
261,Larisa,Renar,1951,Sjedinjene Američke Države
262,Vasilij,Orehov,1896,Ujedinjeno Kraljevstvo
263,Natalja,Stepanova,1962,Ujedinjeno Kraljevstvo
264,Boris,Voskresenskij,1965,Ujedinjeno Kraljevstvo
265,Natalja,Perfilova,1956,Rusija
266,Mihail,Lancov,1960,Francuska
267,Pavel,Trannua,1961,Rusija
268,Marik,Lerner,1959,Italija
269,Aleksandr,Pavlov,1980,Ujedinjeno Kraljevstvo
270,Jurij,Poljakov,1920,Savez Sovjetskih Socijalističkih Republika
271,Daniel,Defo,1683,Rusija
272,Nikolaj,Berg,1823,Ruska Imperija
273,Boris,Babkin,1877,Ujedinjeno Kraljevstvo
274,Uljana,Soboleva,1977,Rusija
275,Tatjana,Ustinova,1968,Rusija
276,Enn,Džoj,1972,Rusija
277,Elizabet,Blekbern,1972,Francuska
278,Elissa,Epel,1971,Ujedinjeno Kraljevstvo
279,Vjačeslav,Korotin,1955,Rusija
280,Natalja,Pavliščeva,1962,Rusija
281,Jurij,Korčevskij,1976,Ujedinjeno Kraljevstvo
282,Olga,Ivenskaja,1989,Srbija
283,Džejms,Klavell,1921,Sjedinjene Američke Države
284,Aleksandr,Tamonikov,1961,Sjedinjene Američke Države
285,Vladislav,Mešalkin,1985,Kanada
286,Ekaterina,Danilčik,1952,Francuska
287,Ella,Rejn,1962,Rusija
288,Elena,Pavlova,1913,Belorusija
289,Galina,Mahovikova,1977,Rusija
290,Kejt,Hjuit,1956,Rusija
291,Lev,Tolstoj,1820,Sjedinjene Američke Države
292,Miranda,Dikinson,1979,Rusija
293,Vladimir,Brjukov,1965,Kanada
294,Tessa,Der,1974,Ujedinjeno Kraljevstvo
295,Vladimir,Tokarev,1991,Ujedinjeno Kraljevstvo
296,Irina,Vajc,1969,Rusija
297,Diana,Horsand-Mavromatis,1984,Rusija
298,Artur Konan,Dojl,1859,Ujedinjeno Kraljevstvo
299,Anatolij,Abraškin,1979,Italija
300,Terri,Pratčett,1948,Ujedinjeno Kraljevstvo
301,Aleksej,Kalinin,1882,Rusija
302,Majkl,Hajjatt,1955,Rusija
303,Deniel,Garkavi,1978,Rusija
304,Tatjana,Vedenskaja,1976,Rusija
305,Tom,Batler-Boudon,1954,Sjedinjene Američke Države
306,Valentina,Eremeeva,1980,Rusija
307,Svjatoslav,Loginov,1951,Rusija
308,Aleksandr,Šakilov,1980,Srbija
309,Elizaveta,Zirjanova,1963,Rusija
310,Kami,Li,1986,Rusija
311,Jurij,Kamenskij,1988,Rusija
312,Vera,Kamenskaja,1983,Ujedinjeno Kraljevstvo
313,Aleksandr,Grišin,1964,Sjedinjene Američke Države
314,Oksana,Gavrilova,1930,Rusija
315,Ket,Šild,1975,Rusija
316,Georgij,Zobač,1968,Francuska
317,Uiljam,Tekkerej,1811,Ujedinjeno Kraljevstvo Velike Britanije i Irske
318,Alber,Kamju,1913,Francuska
319,Marija,Metlickaja,1959,Savez Sovjetskih Socijalističkih Republika
320,Roman,Nikolskij,1979,Sjedinjene Američke Države
321,Olga,Pašnina,1974,Ujedinjeno Kraljevstvo
322,Ajrin,Laks,1966,Rusija
323,Ljudmila,Bolšedvorova,1958,Francuska
324,Dejv,Tompson,1960,Ujedinjeno Kraljevstvo
325,Sergej,Kara-Murza,1968,Rusija
326,Sergej,Smirnov,1967,Sjedinjene Američke Države
327,Ivan,Šmelev,1857,Nemačka
328,Vladimir,Suhinin,1985,Rusija
329,Dmitrij,Raspopov,1979,Sjedinjene Američke Države
330,Piter,Mejl,1939,Francuska
331,Vladimir,Tarasov,1939,Rusija
332,Pavel,Lipcer,1958,Italija
333,Dmitrij,Pučkov,1961,Rusija
334,Jurij,Bajramukov,1984,Ujedinjeno Kraljevstvo
335,Evgenij,Drabatulin,1967,Sjedinjene Američke Države
336,Galina,Kizima,1960,Italija
337,Anastasija,Tumanova,1981,Rusija
338,Jaroslav,Babkin,1973,Sjedinjene Američke Države
339,Elena,Kasatkina,1976,Sjedinjene Američke Države
340,Andrej,Vasilev,1958,Ujedinjeno Kraljevstvo
341,Boris,Sokolov,1944,Rusija
342,Džulet,Varma,1978,Sjedinjene Američke Države
343,Lika,Karazina,1975,Rusija
344,Oleg,Koževnikov,1981,Ujedinjeno Kraljevstvo
345,Mark,Agatov,1950,Rusija
346,Holli,Vebb,1976,Ujedinjeno Kraljevstvo
347,Anatolij,Nekrasov,1926,Savez Sovjetskih Socijalističkih Republika
348,Džulija,Kemeron,1948,Sjedinjene Američke Države
349,Sejdž,Tippot,1985,Italija
350,Malik,Mandibaev,1943,Rusija
351,V.,Žiglov,1963,Poljska
352,Kacudzo,Niši,1967,Srbija
353,Tatjana Oliva,Morales,1945,Rusija
354,Džek,Kenfild,1944,Sjedinjene Američke Države
355,Mark Viktor,Hansen,1960,Italija
356,Emi,Njumark,1961,Nemačka
357,Inna,Bačinskaja,1975,Rusija
358,Biblioteka,KnigiKratko,1977,Rusija
359,Oleg,Batluk,1991,Rusija
360,Frederik,Begbeder,1965,Francuska
361,Oksana,Golovina,1985,Rusija
362,Emilija,Grin,1981,Sjedinjene Američke Države
363,Majkl,Konnelli,1956,Sjedinjene Američke Države
364,Mihail,Okun,1985,Ujedinjeno Kraljevstvo
365,Lukrecija,Bordžia,1480,Papska država
366,Olivija,Gejts,1960,Sjedinjene Američke Države
367,Darija,Rosso,1994,Sjedinjene Američke Države
368,Nik,Lisickij,1988,Rusija
369,Aljona,Tjurina,1960,Rusija
370,Julija,Lavrova,1974,Ujedinjeno Kraljevstvo
371,Mihail,Ageev,1920,Rusija
372,Aleksandr,Maris,1976,Ujedinjeno Kraljevstvo
373,Rejčel Sonja,Lajtman,1983,Rusija
374,Marija,Maksimova,1969,Rusija
375,Marija,Kuzmina,1961,Savez Sovjetskih Socijalističkih Republika
376,Aleksej,Doronin,1974,Rusija
377,Somerset,Moem,1881,Italija
378,Aleksandr,Sobjanin,1972,Rusija
379,Osip,Nazaruk,1884,Rusija
380,Aleksej,Borodkin,1980,Ujedinjeno Kraljevstvo
381,Boris,Širjaev,1889,Savez Sovjetskih Socijalističkih Republika
382,Brajan,Hejbl,1970,Ujedinjeno Kraljevstvo
383,Artem,Kamenistij,1962,Rusija
384,Polina,Tabagari,1947,Francuska
385,Kirill,Klevanskij,1977,Rusija
386,Aleks,Vud,1948,Nemačka
387,Visente,Blasko-Ibanes,1854,Ujedinjeno Kraljevstvo
388,Tatjana,Abissin,1974,Srbija
389,Nikolaj,Nosov,1908,Savez Sovjetskih Socijalističkih Republika
390,Egor,Jakovlev,1998,Poljska
391,Mihail,Popov,1988,Rusija
392,Klim,Žukov,1977,Rusija
393,Barbara,Danlop,1956,Nemačka
394,Elena,Zvjozdnaja,1981,Rusija
395,Natalija,Pravdina,1966,Rusija
396,Jaroslav,Gžendovič,1965,Poljska
397,Elli,Milau,1971,Poljska
398,Ivan,Efremov,1908,Savez Sovjetskih Socijalističkih Republika
399,Zigmund,Frejd,1856,Austrija
400,Erih,Fromm,1900,Švajcarska
401,Oleg,Tarugin,1973,Rusija
402,Sergej,Miheenkov,1967,Italija
403,Elvira,Osetina,1950,Rusija
404,Gerret,Porter,1943,Rusija
405,Patrisija,Norris,1938,Poljska
406,Aleksandr,Kojfman,1969,Rusija
407,Aleksandr,Dolinin,1986,Ujedinjeno Kraljevstvo
408,Lev,Golubev-Kačura,1983,Italija
409,Aleksandr,Vargo,1951,Francuska
410,Pavel,Savelev,1814,Ruska Imperija
411,Aleksandr,Volkov,1912,Sjedinjene Američke Države
412,Georgij,Kočetkov,1961,Rusija
413,Dejzi,Medous,1964,Francuska
414,Nikolaj,Gogol,1809,Ruska Imperija
415,Vitalij,Fedorov,1987,Francuska
416,Šejla,Taormina,1969,Sjedinjene Američke Države
417,Mihail,Žvaneckij,1934,Rusija
418,Vladimir,Hruljov,1963,Rusija
419,Boris,Batiršin,1963,Rusija
420,Anton,Traskovskij,1962,Srbija
421,Volodimir,Єškіlєv,1969,Rusija
422,Natalja,Vasilevskaja,1993,Rusija
423,Ekaterina,Bogdanova,1972,Rusija
424,Mihail,Babkin,1974,Italija
425,Gajto,Gazdanov,1903,Ruska Imperija
426,Alisa,Klever,1977,Sjedinjene Američke Države
427,Uolter,Kenni,1961,Ujedinjeno Kraljevstvo
428,Sabrina,Filips,1971,Francuska
429,Nikolaj,Gornov,1977,Sjedinjene Američke Države
430,Olga,Markes,1987,Rusija
431,Vissarion,Belinskij,1811,Ruska Imperija
432,Mišel,Duglas,1980,Francuska
433,Diana,Maškova,1959,Sjedinjene Američke Države
434,Solomon,Fenrir,1994,Francuska
435,Barbara,Kolorozo,1986,Rusija
436,Boris,Kolonickij,1955,Rusija
437,Šarlotta,Bronte,1816,Ujedinjeno Kraljevstvo Velike Britanije i Irske
438,Anna,Alakozova,1984,Nemačka
439,Sergej,Dovlatov,1941,Sjedinjene Američke Države
440,Ilja,Šumej,1974,Sjedinjene Američke Države
441,Virdžinija,Vulf,1882,Ujedinjeno Kraljevstvo
442,Boris,Berezovskij,1967,Sjedinjene Američke Države
443,Ričard,Fejnman,1918,Sjedinjene Američke Države
444,Elena,Litvinskaja,1968,Francuska
445,Fedor,Razzakov,1978,Nemačka
446,Aleksej,Makeev,1942,Nemačka
447,Nikolaj,Leonov,1884,Srbija
448,Olga,Valenteeva,1968,Sjedinjene Američke Države
449,Viktor,Serov,1902,Sjedinjene Američke Države
450,Vladimir,Žikarencev,1964,Rusija
451,Sergej,Solovev,1901,Italija
452,Aleksandra,Baženova,1982,Rusija
453,Oksana,Briza,1967,Rusija
454,Georgij,Ejtvin,1960,Ujedinjeno Kraljevstvo
455,Elizabet,Lejn,1974,Rusija
456,Tatjana,Šeina,1992,Sjedinjene Američke Države
457,Vladimir,Mihajlov,1944,Ujedinjeno Kraljevstvo
458,Adam,Rejn,1969,Srbija
459,Ljudmila,Ulickaja,1968,Ujedinjeno Kraljevstvo
460,Andrej,Beljanin,2004,Rusija
461,Nina,Komolova,1968,Ujedinjeno Kraljevstvo
462,Aleksandra,Tajc,1962,Ujedinjeno Kraljevstvo
463,Aleksandr,Tajc,1966,Rusija
464,Mihail,Bulgakov,1891,Savez Sovjetskih Socijalističkih Republika
465,Dmitrij,Verhoturov,1966,Kanada
466,Kejt,Atkinson,1960,Sjedinjene Američke Države
467,Ričard,O’Konnor,1968,Rusija
468,Aleksandr,Auzan,1971,Italija
469,Viktor,Rogožkin,1958,Italija
470,Džo,Navarro,1953,Sjedinjene Američke Države
471,Lois,Dunkan,1933,Italija
472,Tatjana,Hmelnickaja,1951,Rusija
473,Aleks,Hellvald,1970,Poljska
474,Aleksandr,Makarov,1898,Savez Sovjetskih Socijalističkih Republika
475,Varvara,Šihareva,1974,Ujedinjeno Kraljevstvo
476,Anatolij,Verčinskij,1987,Italija
477,Kerolajn,Kin,1900,Rusija
478,Oksana,Antonskaja,1987,Rusija
479,Širin,Melek,1976,Rusija
480,Dmitrij,Bikov,1967,Rusija
481,Sergej,Saenko,1972,Ukrajina
482,Fridrih,Neznanskij,1973,Rusija
483,Keti,Ostler,1983,Srbija
484,Natalja,Novaja,1993,Rusija
485,Maša,Traub,1976,Rusija
486,Svetlana,Kolosova,1969,Rusija
487,Ekaterina,Skibinskih,1963,Poljska
488,Tatjana,Korsakova,1974,Francuska
489,Haim,Ginot,1978,Rusija
490,Artem,Buk,1978,Rusija
491,Fej,Rodis,1979,Sjedinjene Američke Države
492,Evgenij,Anisimov,1880,Italija
493,Aleksej,Leontev,1903,Savez Sovjetskih Socijalističkih Republika
494,Almira,Raj,1962,Francuska
495,Emilija,Osten,1979,Nemačka
496,Sigrid,Unset,1882,Norveška
497,Tess,Gerritsen,1953,Sjedinjene Američke Države
498,Silvija,Lajm,1983,Rusija
499,Karina,Demina,1972,Rusija
500,Olga,Skorobogatova,1975,Rusija
501,Agata,Kristi,1890,Ujedinjeno Kraljevstvo
502,Vadim,Šabalin,1981,Francuska
503,Nikolaj,Gorkavij,1959,Sjedinjene Američke Države
504,Kristofer,Paolini,1983,Sjedinjene Američke Države
505,Julija,Žuravleva,1896,Ruska Imperija
506,Aleksej,Varlamov,1973,Italija
507,Nassim Nikolas,Taleb,1960,Sjedinjene Američke Države
508,Julija,Nabokova,1951,Rusija
509,Kirill,Šarapov,1964,Poljska
510,Vasilij,Čibisov,1965,Poljska
511,Oleg,Krisjuk,1965,Rusija
512,Aleksandr,Strelnikov,1967,Sjedinjene Američke Države
513,Andrej,Obrezan,1954,Rusija
514,Larisa,Kočorova,1965,Rusija
515,Vladimir,Muhin,1967,Italija
516,Lev,Lure,1950,Rusija
517,Andrej,Poliščuk,1993,Nemačka
518,Vladislav,Le,1989,Sjedinjene Američke Države
519,Sjuzen,Sontag,1961,Rusija
520,Džon,Frili,1963,Sjedinjene Američke Države
521,Evgenij,Mihajlov,1949,Ujedinjeno Kraljevstvo
522,Levin,Levadopa,1966,Rusija
523,Uolles,Uottlz,1982,Rusija
524,Tui,Sazerlend,1978,Sjedinjene Američke Države
525,Kari,Sazerlend,1985,Rusija
526,Galina,Dolgova,1980,Rusija
527,Denis,Marčuk,1946,Francuska
528,Vadim,Lankin,1972,Sjedinjene Američke Države
529,Linn,Grehem,1984,Rusija
530,Erve,Bazen,1911,Francuska
531,Vladislav,Krapivin,1938,Rusija
532,Ekaterina,Murašova,1968,Srbija
533,Natalja,Majorova,1988,Rusija
534,Fransua-Mari Arue,Volter,1741,Francuska
535,Oleg,Sinicin,1957,Sjedinjene Američke Države
536,Nikolaj,Serov,1790,Rusija
537,Olga,Gromiko,1978,Belorusija
538,Vladimir,Odoevskij,1803,Ruska Imperija
539,Maksim,Volžskij,1977,Francuska
540,Marija,Evseeva,1982,Rusija
541,Vjačeslav,Kumin,1965,Rusija
542,Marina,Drobkova,1961,Sjedinjene Američke Države
543,Tomas,Harris,1940,Sjedinjene Američke Države
544,Aleksandr,Rudazov,1966,Ujedinjeno Kraljevstvo
545,Haruki,Murakami,1949,Japan
546,Julija,Alejnikova,1958,Ujedinjeno Kraljevstvo
547,Aleksandr,Snegov,1957,Ujedinjeno Kraljevstvo
548,Aleksej,Osadčuk,1975,Italija
549,Jakov,Perelman,1865,Ujedinjeno Kraljevstvo
550,Vladimir,Zeščinskij,1961,Kanada
551,Vladimir,Obručev,1863,Savez Sovjetskih Socijalističkih Republika
552,Sergej,Lukjanenko,1968,Rusija
553,Tatjana,Poljakova,1959,Rusija
554,Vladimir,Ovčinskij,1977,Rusija
555,Elena,Larina,1959,Sjedinjene Američke Države
556,Sergej,Zverev,1963,Rusija
557,Igor,Kolosov,1959,Rusija
558,Marina,Vesennjaja,1969,Rusija
559,Lana,Kapriznaja,1964,Srbija
560,Anna,Lukaševič,1992,Rusija
561,Evgenij,Simonov,1977,Sjedinjene Američke Države
