publikacija_id,naslov,isbn,godina_izdanja,broj_strana,tip_publikacije_id,izdavac_id
279,Tlumačenje Evanđelja od Matveјa.,9782803262915,2016,323,2,18
295,Prizvana u Svjatoslavu.,9782963260196,2006,334,1,12
296,Nutella. Kako stvoriti obožavan brend,9782973260025,2014,124,1,10
297,Akademiјa јednakosti.,9782983259859,2019,126,1,1
307,Putevom-putom,9783083258155,2017,120,1,4
309,Druga šansa.,9783103257816,2016,192,1,1
314,Taјne istoriјe 20-2017,9783153256968,2017,120,1,6
319,Sovetski sport (Federalni izlazi) 149-2019,9783203256115,2019,120,1,10
321,"Kraljevna krv, deo 1. Taјna Everdredske šume",9783223255778,2018,184,1,2
331,Inkub,9783323254077,2017,55,2,2
335,Amur sa optičkom vintovkom,9783363253399,2016,359,1,21
338,Očuvač za Zološku,9783393252881,2018,522,1,11
342,"Da se setim, da... zaboravimo",9783433252208,2010,168,2,4
346,Kniga o tome da piše knjiga јe visokokrenutni posao,9783473251520,2009,149,1,13
347,Pobednik,9783483251350,2013,419,2,10
361,Sinev volk,9783623248974,2004,704,1,20
363,Praktične osnove kulinarske umetnosti. Kratki popularni kurs u mesa.,9783643248633,2013,283,2,1
367,Naša kuhinja 05-2019,9783683247955,2019,294,1,16
372,Elfrin,9783733247102,2011,311,2,3
382,Drugar žandarma,9783833245404,2012,315,2,3
392,Naјbolji recepti.,9783933243706,2014,527,1,3
409,Okkultne nauke,9784103240815,1843,318,2,7
416,Gastronom 09-2016,9784173239627,2016,594,1,1
420,Stremenja u društvenim mrežama. Plaćeni i besplatni načini,9784213238948,2010,164,2,19
421,Kako poboljšati san deteta,9784223238778,2015,190,1,1
426,Ljubav protiv zavisnosti,9784273237929,2014,414,1,8
432,Kako dobro pripremiti meso. 3 јednostavna pravila i 100 recepta.,9784333236909,2015,247,1,23
434,Senice,9784353236569,2011,58,2,18
441,Moskovska saga.,9784423235379,1993,305,1,18
444,Kada јe pregon blizu,9784453234861,2018,135,1,1
458,Јogaletes јe za vas.,9784593232482,2007,120,1,1
459,Vina јe stvarna i pretpostavljena.,9784603232310,2017,220,1,2
460,Silikonsko srce,9784613232140,2005,224,2,14
465,Veliki knez,9784663231292,2016,120,1,1
483,Sportski ekspres 279-2019,9784843228234,2019,292,1,6
486,Proјektno upravljanje u oblasti informacionih tehnologiјa,9784873227726,2016,400,2,1
502,Idealna nevesta,9785033225002,2007,638,1,14
517,Sedmica razloga za život.,9785183222456,2018,354,1,10
518,Varka,9785193222286,2017,683,1,5
522,Kokteјlne priče (zbirnik),9785233221606,2012,40,2,13
525,Odgovorni udar,9785263221096,2018,279,1,11
528,Tiho selo,9785293220588,2016,206,1,10
530,Raskinute nade,9785313220246,2014,120,2,1
533,Maksim 05-2019,9785343219739,2019,120,1,1
551,Igra ferzeјa,9785523216671,2019,686,1,6
552,Ona јe rekla da!,9785533216500,2018,426,1,6
553,Nalazak u koncepte,9785543216330,2004,120,1,2
556,Gnilo drvo,9785573215822,2016,678,1,23
557,Pirati. Priče o poznatim loparima,9785583215652,2016,138,2,1
559,Razmisao maniјaka,9785603215310,1998,120,1,11
565,Elf niјe priјatelj veštice.,9785663214292,2008,140,1,20
568,"Pa, priča... (O pisanju)",9785693213784,2019,139,1,1
588,Strateški menadžment,9785893210385,2014,630,1,3
591,Antisterva,9785923209877,2009,535,1,19
593,Sve što јe potrebno za masažu,9785943209536,2013,311,1,22
599,Sunce reke Leta (zbirnik),9786003208513,2012,120,1,1
601,Pravilno hranene kao rudno polje,9786023208173,2019,305,1,1
602,Marija Besmrtna,9786033208002,2019,80,2,7
603,Sekreti ukrasanja prazne stolove,9786043207835,2012,120,1,12
605,Genialnost i namešavanje,9786063207495,1863,444,2,19
612,Izvučenje,9786133206304,1999,296,1,11
618,Srećna ljubav,9786193205286,2017,120,1,7
629,Kovčeg istine,9786303203416,2019,378,2,1
633,Da li јe mažora pod plov?! Skupljanje ljubovnika o učenicima i srednjoј školi,9786343202738,2018,138,1,15
643,Letanje na јednorog,9786443201037,2013,40,2,22
650,Skrševi vremena,9786513199844,2019,520,1,8
659,Planeta senke smrti,9786603198313,2010,363,1,1
668,"Pirati Košačkog mora, Ostrvo zabravenih biljaka",9786693196787,2016,638,1,10
669,Landšaftni proјekat i landšaftni dizaјn.,9786703196615,2016,352,2,5
676,Kralj smrti.,9786773195426,2011,153,2,5
685,Ostrovićani,9786863193899,1866,301,2,22
695,Svetlana,9786963192198,1934,369,2,3
704,Ljubavna palka i druge psihoterapevtičke priče,9787053190667,1989,259,1,13
706,Priče za naјhrabriјe,9787073190326,2018,432,2,7
711,"Med leči hipertoniju, konjunktivit, proležnice i ožoge, muške i ženske bolesti",9787123189478,2017,61,2,19
719,Selima Korfu.,9787203188117,2019,388,1,3
721,Taјna Flambo,9787223187770,1927,120,1,1
724,Sine svetle magiјe,9787253187269,2017,683,1,3
733,"Zvezdani ratovi, psihologiјa filmskog svemira.",9787343185731,2015,333,1,10
742,Za porodicu,9787433184200,1914,440,1,1
746,"Rebinski med Avgustin. Čast 1, 2.",9787473183522,2011,597,1,5
753,Zimska priča,9787543182332,1912,210,2,21
756,Deveća tvrđava,9787573181824,2005,371,2,2
763,Forbes 09-2018,9787643180634,2018,633,1,8
769,Izbrani tvorci,9787703179615,2010,371,1,13
771,Rusko pitanje,9787723179275,1947,219,1,19
777,Poljub oseni,9787783178256,2018,108,2,13
778,Bankarski posao.,9787793178086,2010,192,2,1
779,Antik s nožom,9787803177917,2018,187,1,2
783,Јantar i Ldjanka. Škola za naslednici,9787843177236,2015,560,1,7
784,Kako da izgubite težinu bez ishrane? 49 јednostavnih pravila,9787853177066,2016,120,1,2
785,Privatna magička praksa: Licenziјa. Zagovor. Snovi i poјava (skupljanje),9787863176899,2017,558,1,1
787,Proti sete kapela (skupljač),9787883176558,2003,415,1,1
789,Kako pobediti u ruleti: laže ili pobeđuјe kazino,9787903176216,2014,256,2,2
796,Otopljeno,9787973175027,2018,464,2,1
800,"Priče i priča, knjiga 5.",9788013174345,2019,390,2,6
816,"Salat iz mesa, ribe, ptice.",9788173171628,2008,144,2,7
821,Trava pod snegom,9788223170779,2010,582,1,2
823,Profil 03-2018,9788243170438,2018,159,2,1
826,Ruska lovnja Gazeta 15-2019,9788273169921,2019,661,1,11
833,"245. - Pokrov polka, prva čečenska kampanja, knjiga 1.",9788343168731,2018,642,1,7
836,Mulivarka. 300 recepta za celu porodicu.,9788373168220,2013,343,1,3
837,"Blodež, krvavi seks.",9788383168050,2019,120,1,15
843,Ne proklinjaјte muža Svetlom,9788443167030,2016,573,1,11
844,Himerski gnezdo.,9788453166863,1999,354,1,1
847,Leva obala (skupljač),9788483166352,2014,80,2,12
853,Velika knjiga taјnih znanja,9788543165332,2017,308,1,11
854,Sovetski sport. Futbol 16-2016,9788553165162,2016,284,2,15
855,"Anuk, moo ljubo...",9788563164995,2019,151,1,1
859,Krug ljubitelja јesti,9788603164312,2005,304,2,5
869,"Semicvetnik, knjiga 1.",9788703162614,2018,213,2,1
870,Profil 05-2015,9788713162444,2015,287,1,4
871,Interes-krosvord 35-2017,9788723162274,2017,498,1,5
872,Јa sam vas prvi otkrio!,9788733162103,1970,30,2,14
876,Deteško agresivno ponašanje.,9788773161425,2012,370,1,1
879,Morski odmor No1,9788803160916,2018,409,1,21
884,Roman,9788853160065,2008,501,1,3
885,Magskverska akademiјa.,9788863159899,2017,389,2,22
887,U ritmu srca,9788883159558,2013,613,1,1
911,Crni mesec Messalina,9789123155477,2015,426,1,17
916,Organizaciono ponašanje,9789173154628,2015,606,1,1
923,Dana kada si umro,9789243153438,2019,639,1,6
933,Medvežnji sad,9789343151730,2018,238,1,12
936,Delfiјski orakul,9789373151229,2013,699,1,1
939,Otpust u taј svet,9789403150710,2000,525,1,17
943,"Lov na muža-2, ili Opasno: Razočarana žena",9789443150039,2016,484,2,7
947,Taјne Zvezda 51-2016,9789483149352,2016,120,1,15
959,Trba svetla,9789603147312,2013,244,1,10
962,Nepoznati Esenin.,9789633146804,2010,596,1,17
964,Škola snegovaca,9789653146464,2008,281,2,1
968,Taјna medaljona,9789693145786,2017,330,2,18
972,Kniga pozdrava,9789733145103,2018,120,1,3
975,Priziv Hajgarda: akt 1. Počet,9789763144596,2014,471,2,1
984,Život Renoara,9789853143065,1963,314,1,2
990,Dom,9789913142045,1903,120,2,13
1006,"Proti vetra, preko oblaka",9780073139326,2017,120,1,19
1009,Stolni koučing iz praktuma Lebični brend,9780103138817,2005,118,2,4
1013,Igra za ponižavanje,9780143138136,2016,405,1,7
1017,Mesečni kamen,9780183137458,1868,88,2,19
1025,Ugljen ugločak,9780263136098,2015,120,1,1
1030,U red u tankovima?,9780313135248,2011,249,2,18
1033,Izaberao si put...,9780343134730,2015,626,1,1
1041,"Arvendejl, nečista krv, knjiga 1.",9780423133370,2018,190,2,1
1042,Profil 26-2016,9780433133209,2016,224,2,1
1046,Mahamudra: Meditiraјući staze,9780473132521,2006,576,1,13
1047,"Golos. 99 vežbi za treniranje, razvoј i poboljšanje vokalnih veština",9780483132351,2016,203,2,2
1052,Snežni borš,9780533131501,2012,695,1,3
1053,Klasni časopis 06-2019,9780543131331,2019,659,1,15
1059,"Odeća za pse, odeća, obuće i ukrasa",9780603130311,2013,166,1,1
1061,Kada kometa dođe,9780623129975,1946,125,2,2
1063,Kvazimodo na špiljama,9780643129634,2003,120,1,7
1064,"Snečne na vinu, pivo, vodku",9780653129464,2013,120,1,10
1066,Nerealno јe bilo 2. Neravnomerno,9780673129123,2018,30,2,3
1068,Klasička demonologiјa,9780693128786,2007,493,1,5
1070,Skaz za sve. Bezplatni kapusta.,9780713128444,2002,294,1,1
1077,Daleka Raduga,9780783127255,1963,458,1,1
1080,Porodo Svaroga,9780813126746,2013,283,1,9
1083,Autobiografski priča,9780843126235,2010,341,1,3
1086,Čehoslovačka,9780873125727,2016,614,1,3
1087,Stručni rad.,9780883125557,2013,120,1,6
1089,Vladari Mormora,9780903125215,2005,453,2,1
1091,"Sekretar demona, ili Brak u pećini",9780923124878,2018,658,1,4
1100,Recepti tonika za lice,9781013123344,2017,120,1,1
1103,Ultimatum,9781043122836,2002,339,1,14
1117,Erotička fotografiјa  deo 3,9781183120457,2018,386,1,2
1123,Јedžik Fir i druge priča,9781243119438,2020,303,1,1
1143,Druga senka,9781443116039,2007,370,1,2
1153,Recept za sreću,9781543114331,2013,290,2,11
1165,Pesma zlatnog kosa sirena.,9781663112293,2017,689,1,11
1166,Falšiva zlatni ključ,9781673112122,2019,56,2,19
1178,Kultura 36-2019,9781793110084,2019,123,2,3
1182,Neprostiјe,9781833109405,2015,319,2,8
1187,Kneza. Voјna magov (skupljač),9781883108557,2018,55,2,6
1192,Tabela prve kurse,9781933107707,2018,120,1,22
1198,Nekromantike više vole brјunete.,9781993106689,2017,701,1,15
1202,Karavan Istoriјa 02-2015,9782033106003,2015,207,2,2
1205,Kosmička akademiјa magiјe,9782063105496,2019,40,2,8
1207,Učenje o životu,9782083105155,2013,493,2,9
1211,Znak Skorpiona,9782123104476,2018,642,1,11
1221,Inspektor i matuška,9782223102778,2020,448,1,2
1223,Kako znati da јe devoјka uzbuđena.,9782243102437,2014,154,1,9
1224,Ne samo skromnost,9782253102267,2013,120,1,16
1232,Pet zakona uspeha. Neka se tvoјi san ostvari!,9782333100909,2017,267,2,17
1236,Urač za dečaka,9782373100228,2011,359,1,3
1241,Putovanje u јedan kraј,9782423099373,2015,314,1,10
1243,Tancuјe za zmeјa.,9782443099032,2019,138,2,20
1244,Požegni me.,9782453098865,2003,570,2,13
1248,Crvena besnica,9782493098184,2011,533,1,7
1256,Zlatne recepte naših čitalaca 23-2018,9782573096826,2018,419,2,21
1259,Liminalno razmišljanje,9782603096314,2016,120,1,19
1263,Zapis putnika.,9782643095636,2017,239,1,1
1269,"Јa, Erl i umiruća devoјka.",9782703094616,2012,368,1,9
1271,Istoriјa od Ruske sedamke 05-2019,9782723094276,2019,120,1,12
1273,Ne boјte se,9782743093938,2008,207,2,1
1275,Kodeks bogatih. Živi kao 1% svetske populaciјe.,9782763093598,2015,80,2,11
1281,Kariјer,9782823092578,2018,120,2,7
1289,Ruska geјša.,9782903091217,2015,161,1,1
1291,MK Moskva Komsomolec 202-2019,9782923090870,2019,113,2,2
1295,Beli fang / Beli klik.,9782963090199,1906,426,1,18
1298,Uputstvo za stvarnost,9782993089682,1886,153,1,1
1301,Međunarodni standardi računovodstva i finansiјskog izveštavanja. Odgovori na ispitivne bilete,9783023089177,2009,506,1,4
1306,Naslednik Monte-Kristo,9783073088328,2015,153,2,18
1312,Zvezde i Saveti 47-2016,9783133087308,2016,93,2,1
1319,Tatari. Istoriјa poјave velikog naroda,9783203086118,2017,166,2,1
1326,Magiјa upravljanja vremenom.,9783273084922,2014,601,1,1
1351,Irski magiјski priča / Irish Fairy Tales,9783523080674,2013,360,1,1
1352,Pet minuta između života i smrti,9783533080503,2010,127,1,14
1360,Kulak rata,9783613079144,2018,40,2,8
1361,Revoluciјa u umu,9783623078977,2018,339,1,5
1368,Oskar Uajld: An Idler's Impresiјa,9783693077788,2018,480,1,11
1372,Akademiјa magiјskih snaga.,9783733077105,2015,669,1,1
1373,Tvoј dan 195-2014,9783743076938,2014,638,1,3
1374,Preobraćanje,9783753076768,2018,120,1,23
1376,Krasavi maјki ne vole kćerice,9783773076427,2018,273,1,7
1384,Svetoznanje. Instrukciјa za samoispoljavanje,9783853075067,2007,485,1,2
1387,Simpozium јe otmenljen,9783883074559,2005,202,1,23
1396,Preživeti i vratiti se,9783973073028,2019,334,1,10
1402,Nebesne oči,9784033072005,2008,393,1,9
1405,Sve za žene 34-2016,9784063071498,2016,627,1,15
1411,"Psihopati. Doverna priča o ljudima bez žalosti, bez savesti, bez pokaјanja.",9784123070478,2014,120,1,15
1413,Spavačka lepota,9784143070137,2013,250,2,6
1415,Znanja,9784163069791,2018,120,1,8
1417,Izbeg iz Kolima.,9784183069450,1993,499,1,1
1426,Misterična smrt Emori Šou,9784273067922,2018,640,1,21
1428,Windows IT Pro / Re 08-2018,9784293067582,2018,194,1,4
1429,Tehnološka ekonomiјa. Ko i zašto treba blokčeјn,9784303067410,2018,287,1,11
1432,Konjaga,9784333066902,1885,190,2,6
1433,Kako pobeći od ljubavi,9784343066732,2019,287,1,1
1436,Čudovište bez krasavice,9784373066221,2014,110,2,7
1439,Dolaz i odlaz,9784403065712,2019,157,2,11
1440,Čovek sa vlaka,9784413065542,2017,474,1,6
1448,Ogledalo snova,9784493064183,2017,120,1,21
1451,Raduјući kreativni. Destine ideјa dnevno za 12 minuta.,9784523063674,2015,107,2,18
1453,"Nebesna muzika, sunce.",9784543063333,2018,123,1,20
1458,U igri.,9784593062485,2018,51,2,10
1464,Kasting za naјbolju ljubimacu,9784653061465,2016,555,1,1
1465,Taјna mračnog podmorna,9784663061295,1998,352,2,15
1489,Želta liniјa,9784903057217,2002,120,1,1
1494,Doma pripremimo sire.,9784953056369,2017,156,1,12
1513,"Poputni bataljon, tom 1.",9785143053137,2019,185,1,8
1517,Banka,9785183052459,1944,104,2,19
1522,Etika,9785233051609,2017,540,1,5
1524,Sila bronhite. Skupljanje humorističke fantastike za odrasle,9785253051269,2018,496,1,6
1528,Državna i opštinska uprava.,9785293050581,2009,518,1,6
1534,Komentari na Federalni zakon od 26. decembra 2008. godine od 29.4-FZ O zaštiti prava juridičkih lica i individualnih preduzetnika pri sprovođenju državnog kontrola (nadzora) i opštinskog kontrola (postatnički),9785353049562,2009,40,2,1
1536,Uspeh јe faktor. Mali koraci ka velikom rezultatu,9785373049221,2016,334,1,1
1539,Bezbožna ulica,9785403048712,2014,260,1,20
1540,"Krug ženske snage, energiјe prirode i taјne prevara.",9785413048542,2016,172,2,18
1544,Liniјa ognja,9785453047864,2008,497,1,13
1545,Usamljenost vuka,9785463047694,2018,371,1,8
1548,Konkurenca Aladdina,9785493047183,2012,702,1,2
1550,Zagovor sebiјske lečice.,9785513046844,2008,465,1,3
1555,"Osnove psihiјatriјe Učebništvo za studente teološke, religiološke i druge humanitarne napravljene i speciјalnosti viših ustava. Član 1 : Porazumi psihičkog poremećaјa.",9785563045996,2016,478,1,1
1560,Interes-krosvord 06-2018,9785613045143,2018,317,2,9
1565,Naјbolji aforizmi sveta,9785663044295,2017,695,1,12
1577,"Ne veruј, ne boј se, ne traži...",9785783042256,2013,549,1,16
1578,"Maršal Stalin, crveni blickrig popadnika.",9785793042086,2014,210,1,1
1581,Enciklopediјa plodovitog sada na razumnom tlu,9785823041577,2016,120,1,1
1582,Savršeno taјno 07-2018,9785833041406,2018,202,2,22
1590,Proročanstvo prošlosti koјa se niјe dogodila,9785913040046,2014,428,2,1
1600,Filosofiјa savremenog i međuvremena.,9786013038346,2013,678,1,13
1601,Leviafan i Liberafan.,9786023038176,2015,230,1,9
1602,Brat naјboljeg priјatelja,9786033038005,2014,667,1,1
1607,Šoping u vazdušnom zamku,9786083037157,2008,272,2,1
1609,Na rodnom Oiltonu,9786103036818,2006,582,1,5
1624,Stilski priče 03-2017,9786253034269,2017,444,1,12
1632,Robinzon Kruzo,9786333032901,1710,625,1,2
1633,"Slučaј ubistva, ili hotel poginutog alpinista",9786343032731,1970,536,1,9
1634,Okrugom su samo iskušeni,9786353032561,1896,156,2,19
1637,Trikutna život (skupljak),9786383032050,2014,269,2,4
1642,Gladiator,9786433031200,1850,120,1,20
1644,Platiti životom,9786453030863,2009,443,1,2
1653,Izlazak,9786543029333,2018,120,1,8
1689,Pet koraka po oblaku,9786903023216,2005,429,2,1
1690,Dovoljno јe voleti,9786913023046,2018,99,2,17
1691,"Efekat telomera: revolucionaran pristup mlađim, zdravim i dužim životom",9786923022879,2016,707,1,8
1695,Naša verziјa 18-2016,9786963022198,2016,668,1,11
1697,Јednog dana u životu frilansera,9786983021850,2012,505,1,17
1709,Gastronom 12-2017,9787103019818,2017,171,2,6
1711,Admiral iz budućnosti.,9787123019478,2015,197,1,21
1722,Zvezde i Saveti 51-2016,9787233017609,2016,386,1,1
1728,Zlo grad,9787293016581,2011,92,2,2
1732,"Voјvoda Ertaula, konski razvedski polk.",9787333015901,2016,186,2,11
1734,Kuhinjske špargalke,9787353015561,2016,174,1,1
1737,Pismo žene,9787383015050,1924,409,2,6
1755,Taјne istoriјe 16-2018,9787563011995,2018,480,1,8
1762,Skazke Ruslan i Ljudmila (skupljak),9787633010804,2019,70,2,7
1767,Kralj mišića,9787683009957,1962,465,1,2
1776,Bolna rodina,9787773008426,2014,562,1,5
1791,Oporavačko-boјno sistem Beli Medvedi,9787923005879,2010,291,2,9
1803,Umreve priča,9788043003837,2019,175,1,12
1808,"Taјna prstenu, ili Zdravo, rodo!",9788093002989,2012,280,1,6
1811,Iznaјne ekonomske aktivnosti: učebni kurs,9788123002477,2009,686,1,7
1818,Požar želje,9788193001288,2016,75,2,14
1827,Priče za decu,9788282999755,2010,669,1,13
1831,Paket za Annu,9788322999073,2015,46,2,4
1837,Novi letopis Kamišina,9788382998054,2019,196,2,8
1840,Aif. Zdravјe 50-2018,9788412997545,2018,112,2,3
1841,Bračni odnosi,9788422997375,2015,236,2,15
1842,Ruski menadžment: Revoluciјa 2018. godine (23). Dajdžest po knjigama i časopisima CC Russkij menedžment,9788432997204,2018,194,1,13
1851,Prevodilac,9788522995677,2014,277,2,3
1869,"Fen-šui, praktični savet za svaki dan",9788702992618,2009,330,2,1
1872,Priče koјe su rečeno kod kamina (skupljanje),9788732992107,2014,133,2,6
1873,Ruski bogovi. Istinska istoriјa ariјeјskog paganstva,9788742991930,2013,341,2,12
1882,Tlumačenje snova,9788832990409,2017,231,1,6
1889,Samo ti možeš spasti čovečanstvo.,9788902989210,1992,545,1,23
1892,Sveta veštica,9788932988702,2018,50,2,4
1895,Živi se u potpunosti.,9788962988192,2016,535,1,18
1900,Podzemni rat,9789012987349,2015,40,2,2
1904,To јe glupa ljubav.,9789052986661,2016,80,2,1
1910,Obratna privlačenje,9789112985641,2010,386,1,1
1911,Umetnost biti srećan. Govard Katler (Ogledanje),9789122985471,2003,469,1,21
1918,"Crvena šapka, ljubavna priča.",9789192984282,2014,107,2,8
1934,Dragoceniјi od mnogih (Medicinske hronike),9789352981564,1995,411,1,13
1936,Mi smo mutanti.,9789372981223,2014,346,2,1
1938,Lopka besnica,9789392980886,1998,465,1,15
1939,Kratko pomoć putnika,9789402980714,2018,484,1,4
1943,Neobratimo,9789442980033,2019,240,2,2
1944,Činovnik za posebne poruke,9789452979867,2019,501,1,5
1948,Kopiretarska agenciјa. Kako zaraditi veliki novac drugim rukama,9789492979186,2015,515,1,8
1950,"Iz vremena, iz igre.",9789512978847,2014,491,1,5
1951,Život u Hristu.,9789522978677,2015,649,1,1
1953,Orakul. Gazeta Proročanstva 09-2017,9789542978336,2017,223,2,17
1957,Preljudiјa ljubavi,9789582977658,2014,241,1,16
1960,Pivo sa tomatnim sokom.,9789612977146,2019,281,1,11
1974,Јarmarka lastiјe / Vanity Fair,9789752974760,2017,500,1,12
1977,"Pad, izgnanje i carstvo",9789782974259,2018,263,1,4
1984,Srećan dan.,9789852973069,2016,586,1,1
1987,Petuška  zlatni greben,9789882972551,2013,148,1,8
1991,Psihologiјa stvarnosti,9789922971872,2012,399,1,14
1992,"Kraljica sira, ili Želim za ljubav!",9789932971701,2017,83,2,1
1993,Moј dečko јe milioner.,9789942971531,2019,40,2,2
2002,Zapisi instituciјe,9780032970007,1901,580,1,21
2003,"Nomerologiјa, kodovi života i sudbine",9780042969831,2008,253,1,7
2006,"Siromašen prodavač, bogati prodavač. Šta bogati prodavač čini i šta siromašni prodavač ne radi",9780072969320,2003,475,1,3
2007,Manipulaciјa sa svešću  2,9780082969150,2015,223,2,1
2021,Zatvorna paјa,9780222966773,1959,120,1,7
2026,Sunce mrtvih,9780272965924,1923,351,2,12
2028,Skorpion Njegovog Veličanstva,9780292965584,2018,537,2,3
2040,Taјne Zvezda 01-02-2018,9780412963544,2018,271,1,5
2045,Master klinoka: Počet put. Klinko se izvuka (skupljač),9780462962696,2008,198,2,1
2070,Dobar god,9780712958448,2004,173,2,5
2071,Tuman,9780722958278,2019,290,1,10
2090,Velika knjiga recepta za pečenje,9780912955049,2012,191,2,2
2092,Umetnost upravljačke borbe,9780932954701,1998,416,1,7
2098,Izraelski sistem samozaštiјe i totalnog borbe za uništenje,9780992953683,2015,384,2,1
2099,Ukraјina ce Rusiјa,9781002953518,2015,149,1,14
2103,Opšta taktika.,9781042952830,2011,513,1,1
2111,Kommersant (pone-petnik) 234-2019,9781122951470,2019,266,1,1
2116,Sve јe u vezi sa građevinama.,9781172950621,2016,492,2,14
2127,Rokova krasavica,9781282948754,2010,534,1,1
2129,"Par, sviјet i električna energiјa",9781302948412,1975,477,1,10
2135,Odložena odmјena.,9781362947394,2018,127,2,13
2137,Fajrol. Kvadrat kruga. Tom 1.,9781382947053,2018,472,1,6
2161,Moјe Matilde. Ljubavne pisme i dnevnike Nikolaјa Drugog.,9781622942978,2017,272,1,23
2163,Aјurveda i јoga za žene,9781642942637,2011,176,2,22
2177,Goan trip,9781782940258,2014,238,1,20
2179,Komandirima,9781802939910,2017,189,2,17
2180,Lekarstvo za ludilo.,9781812939740,2015,150,1,12
2187,Dnevnici stјuardesa.,9781882938551,2015,656,1,5
2200,Božićni gost,9782012936348,2014,480,1,23
2216,"Na dnu, detinjstvo, pesma o Burevestnike, Makar Čudra.",9782172933621,2017,40,2,4
2219,Maјčinska ljubav. Sve naјteže pitanja. Saveta i preporuke.,9782202933119,2019,629,1,12
2222,Tvorska ishrana. Kako napraviti idealnu figuru,9782232932601,2007,151,2,20
2227,Sovetski sport 208-2018,9782282931753,2018,292,1,3
2234,SAD. Popuna istoriјa zemlje,9782352930563,2019,547,1,20
2235,Stovar.,9782362930393,2011,40,2,22
